"label","est","ci_lower","ci_upper","significant"
"a_s2",0.724382403391515,0.330776721312437,1.10177185995587,"*"
"a_s1",0.118085475930292,-0.210627669526468,0.42567731744348,""
"a_s4",0.315698892021801,-0.0795196860709276,0.718147874883672,""
"a_i2",-0.227785955327194,-0.472809207577241,0.0283684776274532,""
"a_i3",-0.0217942899466923,-0.389699199715445,0.363947388095573,""
"a_i4",0.908233963652502,0.255004000905554,1.60459446618475,"*"
"a_in2",0.823145253642887,0.462803623062349,1.16217533171845,"*"
"a_in3",0.613017748879581,0.166543307774319,1.02353007663432,"*"
"a_in4",0.784493518812942,0.117196390933374,1.47266404164889,"*"
"suicide_idea ~ sex",-0.531665942364473,-0.753894883449286,-0.301487069803307,"*"
"c_s2",-0.0804773085591847,-0.385012697994183,0.211150754930218,""
"c_s1",-0.0345433043639143,-0.277769041129165,0.190672722759689,""
"c_s4",-0.0664975286719603,-0.380302253465472,0.2491745687811,""
"c_i2",0.0453408411704392,-0.136583860320409,0.231977285243289,""
"c_i3",0.0556945097297436,-0.226752161455535,0.345179315194766,""
"c_i4",-0.565915333256832,-1.09822705400631,-0.0732582107190408,"*"
"c_in2",0.0730078340136461,-0.225663722324328,0.374261317745521,""
"c_in3",0.817047233231526,0.470049064565065,1.16681124255016,"*"
"c_in4",1.00513897460824,0.0940933024178837,1.6481089645406,"*"
"b",0.484035503310014,0.410830937688499,0.553586563436121,"*"
"self_harm ~ sex",-0.0996959114076481,-0.268015833115782,0.0766598115669768,""
"suicide_idea ~~ suicide_idea",1.47529336910328,1.36294309795617,1.66118547476043,"*"
"self_harm ~~ self_harm",0.855745747528555,0.766843124145325,1.00126858231133,"*"
"school_class2 ~~ school_class2",0.174049848099696,0.152035929071858,0.192324384648769,"*"
"school_class2 ~~ school_class1",-0.112204724409449,-0.128328631657263,-0.0973518197036394,"*"
"school_class2 ~~ school_class4",-0.037990575981152,-0.0472363444726889,-0.0305389360778722,"*"
"school_class2 ~~ internet_class2",-0.00273575547151094,-0.0208475416950834,0.0150815301630603,""
"school_class2 ~~ internet_class3",0.0105787711575423,-0.0034255068510137,0.0256796763593527,""
"school_class2 ~~ internet_class4",0.00361925723851448,-0.00376650753301507,0.0129425258850518,""
"school_class2 ~~ injury_class2",0.00410750821501643,-0.00764151528303057,0.0168175336350673,""
"school_class2 ~~ injury_class3",0.0133455266910534,0.0013756277512555,0.0267995535991072,"*"
"school_class2 ~~ injury_class4",0.00454150908301817,-0.00150350300700601,0.0127681505363011,""
"school_class2 ~~ sex",-0.0225447950895902,-0.0395250790501581,-0.00508401016802034,"*"
"school_class1 ~~ school_class1",0.25,0.24999612499225,0.25,"*"
"school_class1 ~~ school_class4",-0.0846456692913386,-0.0995876991753984,-0.0707150164300329,"*"
"school_class1 ~~ internet_class2",0.0187007874015748,-0.00226300452600905,0.0403000806001612,""
"school_class1 ~~ internet_class3",-0.0482283464566929,-0.0645421290842582,-0.0330150660301321,"*"
"school_class1 ~~ internet_class4",-0.0108267716535433,-0.0203476656953314,-0.00196850393700787,"*"
"school_class1 ~~ injury_class2",-0.0137795275590551,-0.0279698059396119,-2.3250046500093e-05,"*"
"school_class1 ~~ injury_class3",-0.00393700787401575,-0.0168717837435675,0.00860251720503441,""
"school_class1 ~~ injury_class4",-0.00196850393700787,-0.0089241428482857,0.00471200942401885,""
"school_class1 ~~ sex",-0.000984251968503937,-0.0221882943765888,0.0203050406100812,""
"school_class4 ~~ school_class4",0.140631781263563,0.11737785975572,0.160471820943642,"*"
"school_class4 ~~ internet_class2",0.00439425878851758,-0.0116792733585467,0.0215566681133362,""
"school_class4 ~~ internet_class3",0.0353323206646413,0.0205220410440821,0.0521614793229586,"*"
"school_class4 ~~ internet_class4",0.00808326616653233,-9.3000186000372e-05,0.0186310372620745,""
"school_class4 ~~ injury_class2",0.00689751379502759,-0.00394863289726579,0.01999503999008,""
"school_class4 ~~ injury_class3",-0.00485150970301941,-0.0126364002728005,0.00452213404426809,""
"school_class4 ~~ injury_class4",-6.2000124000248e-05,-0.00412300824601649,0.00566526133052266,""
"school_class4 ~~ sex",0.00975726951453903,-0.0060488870977742,0.0261485522971046,""
"internet_class2 ~~ internet_class2",0.24757812015624,0.241071982143964,0.24990312480625,"*"
"internet_class2 ~~ internet_class3",-0.0736522723045446,-0.0877844255688511,-0.0605276210552421,"*"
"internet_class2 ~~ internet_class4",-0.0204096658193316,-0.0288881827763656,-0.0129037758075516,"*"
"internet_class2 ~~ injury_class2",-0.0195842891685783,-0.0332010664021328,-0.00595201190402381,"*"
"internet_class2 ~~ injury_class3",0.00681226362452725,-0.00589388678777358,0.020262415524831,""
"internet_class2 ~~ injury_class4",0.00116250232500465,-0.00513826027652055,0.00820726641453283,""
"internet_class2 ~~ sex",-0.024238173476347,-0.0451670903341807,-0.00320850641701283,"*"
"internet_class3 ~~ internet_class3",0.136690898381797,0.113041726083452,0.156902938805878,"*"
"internet_class3 ~~ internet_class4",-0.00739738979477959,-0.0109585219170438,-0.00453375906751813,"*"
"internet_class3 ~~ injury_class2",0.0213977927955856,0.0084010168020336,0.0357818215636431,"*"
"internet_class3 ~~ injury_class3",0.0134462768925538,0.00195300390600781,0.0261795523591047,"*"
"internet_class3 ~~ injury_class4",-0.00385950771901544,-0.00650613801227602,-0.00195300390600781,"*"
"internet_class3 ~~ sex",0.00428963357926716,-0.0108926467852936,0.0204135408270817,""
"internet_class4 ~~ internet_class4",0.0432257114514229,0.0249356748713497,0.0590241180482361,"*"
"internet_class4 ~~ injury_class2",0.000379750759501519,-0.00472750945501891,0.00748651497302995,""
"internet_class4 ~~ injury_class3",0.00341775683551367,-0.00234437968875938,0.0117645235290471,""
"internet_class4 ~~ injury_class4",0.00483600967201934,-0.000604501209002418,0.0123186496372993,""
"internet_class4 ~~ sex",0.0169841589683179,0.00780426560853122,0.0275513051026102,"*"
"injury_class2 ~~ injury_class2",0.107151714303429,0.0839597929195858,0.127224254448509,"*"
"injury_class2 ~~ injury_class3",-0.012012524025048,-0.0165462830925662,-0.00856764213528427,"*"
"injury_class2 ~~ injury_class4",-0.00288300576601153,-0.00490188480376961,-0.00143375286750574,"*"
"injury_class2 ~~ sex",0.013260276520553,-0.000569626139252279,0.0282294314588629,""
"injury_class3 ~~ injury_class3",0.088737677475355,0.0675297600595201,0.107151714303429,"*"
"injury_class3 ~~ injury_class4",-0.0023250046500093,-0.00412300824601649,-0.00117800235600471,"*"
"injury_class3 ~~ sex",0.0268228036456073,0.0136322772645545,0.0403620807241614,"*"
"injury_class4 ~~ injury_class4",0.0230640461280923,0.00974564449128898,0.0341775683551367,"*"
"injury_class4 ~~ sex",0.00218550437100874,-0.00437100874201748,0.00944726889453779,""
"sex ~~ sex",0.241440107880216,0.231551088102176,0.247380494760989,"*"
"ind_school2",0.35062680121453,0.158391636959517,0.549573318647683,"*"
"ind_school1",0.0571575627755213,-0.103086570912991,0.206593004957371,""
"ind_school4",0.152809472094186,-0.0363389816347024,0.358680704445897,""
"ind_internet2",-0.110256489533751,-0.231949955577082,0.013199898485706,""
"ind_internet3",-0.0105492101036316,-0.191844223764584,0.179021916348362,""
"ind_internet4",0.439617483719787,0.130120825623311,0.799014865791461,"*"
"ind_injury2",0.398431527144284,0.219685120057875,0.588925919804306,"*"
"ind_injury3",0.2967223546169,0.0857599289851748,0.507948073284308,"*"
"ind_injury4",0.379722715222066,0.0579952781504494,0.725622661048559,"*"
"ind_school_total",0.560593836084237,0.0936056371710827,1.0358107056558,"*"
"ind_internet_total",0.318811784082405,-0.140642128450488,0.826371427407661,""
"ind_injury_total",1.07487659698325,0.609692757411815,1.58332093510331,"*"
"direct_school_total",-0.181518141595059,-0.916319104810665,0.534457136002395,""
"direct_internet_total",-0.464879982356649,-1.21036830821995,0.239608489533697,""
"direct_injury_total",1.89519404185342,0.885025063106148,2.77224833574496,"*"
"total_school_total",0.379075694489178,-0.52786180265252,1.24848910681976,""
"total_internet_total",-0.146068198274244,-0.955471545087826,0.674500109255241,""
"total_injury_total",2.97007063883667,1.94631663877479,3.90465221583675,"*"
"total_school2",0.270149492655345,-0.0995329546890314,0.624325372069127,""
"total_school1",0.0226142584116071,-0.271547905928668,0.288855435321366,""
"total_school4",0.086311943422226,-0.286953039673407,0.462903330313382,""
"total_internet2",-0.0649156483633115,-0.287783910438924,0.164247122192881,""
"total_internet3",0.045145299626112,-0.283526821903965,0.383815668904025,""
"total_internet4",-0.126297849537044,-0.656964703251779,0.442574041631051,""
"total_injury2",0.47143936115793,0.109854216686651,0.831874714192212,"*"
"total_injury3",1.11376958784843,0.706612742615888,1.51093993569489,"*"
"total_injury4",1.38486168983031,0.510971387279358,2.0469788737504,"*"
"prop_school2",1.29789916600679,-0.228426832658793,21.8945586526901,""
"prop_school1",2.52750108958623,1.13209906537319,1962.98235936647,"*"
"prop_school4",1.7704325268945,0.542192601828766,2482.83054268496,"*"
"prop_internet2",1.69845780352807,0.483275227481901,599.236671385451,"*"
"prop_internet3",-0.233672390946541,-423.822512018567,0.649014483637491,""
"prop_internet4",-3.48079943824256,-7044.08328079158,-0.779957787443939,"*"
"prop_injury2",0.845138441910478,0.473761020948898,2.57841836463661,"*"
"prop_injury3",0.266412692404456,0.0938290510928145,0.450978892970432,"*"
"prop_injury4",0.274195407390173,0.0478781116664259,0.757408342835933,"*"
