"label","est","se_boot","ci_lower","ci_upper","significant"
"a_s2",0.595171125913499,0.211872479370383,0.14196572477462,0.985409475418324,"*"
"a_s1",0.066541796185996,0.180590675763802,-0.334105810953962,0.387498462468275,""
"a_s4",0.0688704932319476,0.218997005473356,-0.387803786393085,0.47400719564121,""
"a_i2",-0.23809262746898,0.127892695493435,-0.484664789084669,0.0127638046697298,""
"a_i3",0.00848916768490375,0.190779239540164,-0.367178785457194,0.386424013218247,""
"a_i4",0.71020739523343,0.337693240188288,0.0784785345780527,1.40629912140727,"*"
"a_in2",0.760875601047857,0.179003816126842,0.405157598323535,1.10477549902755,"*"
"a_in3",0.497996657545781,0.21887883952564,0.0749167031387897,0.933465967600874,"*"
"a_in4",0.0281860652327471,0.890371211015123,-0.498627017933928,4.80479932615671,""
"a_sh2",-0.295860477377145,0.149888169538136,-0.587235999077354,-0.0042562914079634,"*"
"a_sh1",-0.353865216789166,0.121323076438419,-0.604964666262984,-0.127750494253266,"*"
"a_sh4",-0.381007121779377,0.170178328723836,-0.704369902783127,-0.0406182073212843,"*"
"a_ih2",-0.0649703016769897,0.100048022117927,-0.24977414924031,0.138360053253608,""
"a_ih3",0.1702932802397,0.153057529592679,-0.138776578275065,0.46679500382294,""
"a_ih4",-0.322424543963035,0.1885539222365,-0.692906699437007,0.0458551459310089,""
"a_inh2",-0.0683612899508162,0.121430322247667,-0.297479939497795,0.178537954732625,""
"a_inh3",-0.176636321099196,0.17872487784699,-0.518584919036031,0.180371344806947,""
"a_inh4",-0.430185212364881,0.719094080653546,-1.8430060397734,2.00336776682245,""
"a_z",0.141718362365008,0.0942225261575088,-0.0353853263058575,0.334466204260846,""
"s_sex",-0.572320067744772,0.115086368630649,-0.802393333118816,-0.357164839361436,"*"
"b",0.460266843452212,0.0426149192118875,0.38710323139724,0.53519686192888,"*"
"b_z",-0.0737593038988028,0.0253897330006329,-0.120019150750008,-0.0201123554056765,"*"
"c_s2",-0.0856026058708868,0.16822520463932,-0.436017614899935,0.23313051803392,""
"c_s1",-0.0455854360346097,0.142156468600184,-0.349257465247709,0.215906693735337,""
"c_s4",-0.0521552552225989,0.175685537696221,-0.400222571151451,0.292787978875761,""
"c_i2",0.0605244531050766,0.0932581140235933,-0.123289415471463,0.24124962846759,""
"c_i3",0.0723932209266961,0.149487013897068,-0.209343834353473,0.381222132273452,""
"c_i4",-0.453685784483797,0.263686498617311,-0.950885038806372,0.0663473744763181,""
"c_in2",0.0151510473760103,0.137906719095727,-0.250599028051498,0.295675018224943,""
